id,nom,equipe,niveauExpertise
AG01,Moussa Ba,Support Niveau 1,junior
AG02,Fatou Diop,Support Niveau 1,confirme
AG03,Ibrahima Sarr,Support Niveau 2,senior
AG04,Aminata Fall,Support Niveau 2,senior
AG05,Cheikh Ndiaye,Support Niveau 2,confirme
AG06,Mariam Sy,Support Niveau 3 - Expert,expert
AG07,Abdoulaye Sow,Support Niveau 1,junior
AG08,Khadidiatou Diagne,Support Niveau 2,confirme
AG09,Moustapha Diop,Support Niveau 1,junior
AG10,Fatoumata Binta Barry,Support Niveau 3 - Expert,expert
AG11,Ibrahima Sarr,Support Niveau 2,confirme
AG12,Aissatou Cissé,Support Niveau 1,junior
AG13,Babacar Diouf,Support Niveau 2,confirme
AG14,Seynabou Lô,Support Niveau 1,junior
AG15,Oumar Kane,Support Niveau 3 - Expert,expert
