id,nom,segment,dateInscription
CL001,Ibrahima Diop,particulier,2023-09-08
CL002,Ousmane Ndiaye,particulier,2024-11-23
CL003,Modou Sarr,premium,2024-03-08
CL004,Moussa Diop,particulier,2023-08-12
CL005,Ousmane Wade,premium,2023-01-28
CL006,Modou Gueye,premium,2024-03-05
CL007,Ousmane Diagne,premium,2023-10-12
CL008,Awa Sy,professionnel,2023-12-15
CL009,Khady Ndiaye,particulier,2025-02-20
CL010,Ndeye Fall,particulier,2024-01-25
CL011,Ibrahima Ndoye,particulier,2024-09-10
CL012,Khady Ba,professionnel,2024-07-03
CL013,Ibrahima Toure,particulier,2024-07-19
CL014,Abdoulaye Diouf,particulier,2024-08-14
CL015,Mariam Sarr,particulier,2024-11-08
CL016,Ousmane Sow,particulier,2025-05-25
CL017,Ousmane Fall,professionnel,2023-10-12
CL018,Bineta Ndoye,particulier,2024-01-15
CL019,Souleymane Gueye,particulier,2024-12-19
CL020,Fatou Diouf,particulier,2024-06-30
CL021,Tahirou BAH,particulier,2024-07-10
CL022,Oumar Sylla,particulier,2024-08-03
CL023,Aminata Diallo,particulier,2024-08-15
CL024,Moussa Ndiaye,premium,2024-09-01
CL025,Fatou Sow,particulier,2024-09-12
CL026,Boubacar Cissé,particulier,2024-10-05
CL027,Khady Diop,premium,2024-10-22
CL028,Amadou Touré,particulier,2024-11-03
CL029,Aissatou Barry,particulier,2024-11-14
CL030,Ibrahima Fall,premium,2024-12-01
CL031,Mariama Ba,particulier,2024-12-18
CL032,Ousmane Sané,particulier,2025-01-05
CL033,Coumba Gawlo,particulier,2025-01-20
CL034,Alioune Badara,premium,2025-02-02
CL035,Penda Mbow,particulier,2025-02-14
CL036,Abdoulaye Wade,particulier,2025-03-01
CL037,Sokhna Diarra,particulier,2025-03-19
CL038,Mamadou Sall,premium,2025-04-04
CL039,Rama Yade,particulier,2025-04-21
CL040,Thierno Niang,particulier,2025-05-02
CL041,Adama Gaye,particulier,2025-05-15
CL042,Babacar Kamara,premium,2025-06-01
CL043,Yacine Fall,particulier,2025-06-14
CL044,Omar Sy,particulier,2025-07-03
CL045,Awa Cheikh,particulier,2025-07-19
CL046,Modou Lô,premium,2025-08-02
CL047,Seynabou Dieng,particulier,2025-08-22
CL048,Cheikh Anta,particulier,2025-09-05
CL049,Binta Daly,particulier,2025-09-18
CL050,Malick Noël,premium,2025-10-01
CL051,Astou Traoré,particulier,2025-10-14
CL052,Samba Diallo,particulier,2025-11-02
CL053,Fama Diouf,particulier,2025-11-20
CL054,Demba Ba,premium,2025-12-04
CL055,Nafi Touré,particulier,2025-12-19
CL056,Lamine Sané,particulier,2026-01-06
CL057,Anta Diop,particulier,2026-01-22
CL058,Kéba Keita,premium,2026-02-02
CL059,Maimouna Sakho,particulier,2026-02-17
CL060,Gorgui Dieng,particulier,2026-03-01
CL061,Ndèye Fatou,particulier,2026-03-14
CL062,Sidy Mohamed,premium,2026-04-03
CL063,Rokheya Samba,particulier,2026-04-18
CL064,Ismaïla Sarr,particulier,2026-05-02
CL065,Absa Wade,particulier,2026-05-19
CL066,Youssou Ndour,premium,2026-06-01
CL067,Khoudia Diagne,particulier,2026-06-14
CL068,Mor Talla,particulier,2026-07-01
CL069,Daba Boye,particulier,2026-07-17
CL070,Sadio Mané,premium,2026-08-01
CL071,Ngoné Thiam,particulier,2026-08-15
CL072,Bouba Ndour,particulier,2026-09-02
CL073,Rokhaya Diallo,particulier,2026-09-19
CL074,Kalidou Koulibaly,premium,2026-10-01
CL075,Arame Fall,particulier,2026-10-15
CL076,Mansour Sy,particulier,2026-11-03
CL077,Amy Collé,particulier,2026-11-20
CL078,Idrissa Gana,premium,2026-12-02
CL079,Safietou Diop,particulier,2026-12-18
CL080,El Hadji Diouf,particulier,2027-01-05
CL081,Khadija Sy,particulier,2027-01-22
CL082,Habib Beye,premium,2027-02-01
CL083,Ouleye Niang,particulier,2027-02-14
CL084,Moustapha Name,particulier,2027-03-02
CL085,Safiétou Kabengele,particulier,2027-03-19
CL086,Edouard Mendy,premium,2027-04-01
CL087,Mareme Faye,particulier,2027-04-14
CL088,Souleymane Faye,particulier,2027-05-03
CL089,Zena Alisar,particulier,2027-05-20
CL090,Krepin Diatta,premium,2027-06-01
CL091,Fanta Diallo,particulier,2027-06-15
CL092,Ousmane Sonko,particulier,2027-07-02
CL093,Marieme Jamme,particulier,2027-07-19
CL094,Bamba Dieng,premium,2027-08-01
CL095,Ndèye Saly,particulier,2027-08-14
CL096,Biram Dah,particulier,2027-09-02
CL097,Aicha Koné,particulier,2027-09-21
CL098,Famara Diédhiou,premium,2027-10-01
CL099,Bineta Sagna,particulier,2027-10-15
CL100,Alassane Ndoye,particulier,2027-11-02
